,origin,destination,aircraft_number,distances,doc,demand,revenue,mach,pax_num,fuel,time,active_arcs,mach_tot_aircraft,total_fuel,total_distance,total_pax,total_cost,total_time
68,CD7,CD9,2.0,421,7041,144.0,17280,0.7448484848484846,68.0,1970.6191726259533,65.8400033928987,1,1.4896969696969693,3941.2383452519066,421,136.0,28164.0,131.6800067857974
69,CD7,CD10,0.0,375,6396,99.0,11880,0.7385858585858585,68.0,1727.271027497338,59.97703665347571,0,0.0,0.0,0,0.0,0.0,0.0
70,CD8,CD1,2.0,589,9610,221.0,26520,0.7511111111111111,68.0,2882.838884126115,90.68075673424802,1,1.5022222222222221,5765.67776825223,589,136.0,38440.0,181.36151346849604
71,CD8,CD2,5.0,243,4743,505.0,60600,0.6195959595959595,68.0,1041.4039164074059,45.02081284528732,1,3.0979797979797974,5207.019582037029,243,340.0,47430.0,225.10406422643658
72,CD8,CD3,2.0,425,7098,204.0,24480,0.7448484848484846,68.0,1991.7671524322081,66.39010254830518,1,1.4896969696969693,3983.5343048644163,425,136.0,28392.0,132.78020509661036
73,CD8,CD4,3.0,406,6824,327.0,39240,0.7448484848484846,68.0,1896.5405303864568,63.91628094245421,1,2.234545454545454,5689.62159115937,406,204.0,40944.0,191.74884282736264
74,CD8,CD5,2.0,784,12585,150.0,18000,0.7448484848484846,68.0,3979.8060348497256,117.8995712456923,1,1.4896969696969693,7959.612069699451,784,136.0,50340.0,235.7991424913846
75,CD8,CD6,2.0,802,12862,164.0,19680,0.7448484848484846,68.0,4082.5711669401576,120.37437277353736,1,1.4896969696969693,8165.142333880315,802,136.0,51448.0,240.74874554707472
76,CD8,CD7,0.0,1020,16123,55.0,6600,0.7448484848484846,58.0,5255.464960706284,151.30208542310038,0,0.0,0.0,0,0.0,0.0,0.0
77,CD8,CD8,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
78,CD8,CD9,0.0,922,14840,63.0,7560,0.7511111111111111,68.0,4802.312481058159,138.2101493763187,0,0.0,0.0,0,0.0,0.0,0.0
79,CD8,CD10,0.0,670,10882,78.0,9360,0.7385858585858585,68.0,3331.239060261267,103.02792159389693,0,0.0,0.0,0,0.0,0.0,0.0
80,CD9,CD1,3.0,336,5842,324.0,38880,0.7385858585858585,68.0,1524.5901016699818,54.56245012292027,1,2.2157575757575754,4573.770305009945,336,204.0,35052.0,163.6873503687608
81,CD9,CD2,2.0,690,11185,227.0,27240,0.7385858585858585,68.0,3443.000075780878,105.79744383697647,1,1.477171717171717,6886.000151561756,690,136.0,44740.0,211.59488767395294
82,CD9,CD3,3.0,561,9150,255.0,30600,0.7511111111111111,68.0,2729.691508379374,86.12109152374684,1,2.253333333333333,8189.074525138123,561,204.0,54900.0,258.36327457124054
83,CD9,CD4,3.0,519,8514,255.0,30600,0.7448484848484846,68.0,2493.7117681801055,80.177898698884,1,2.234545454545454,7481.135304540317,519,204.0,51084.0,240.53369609665197
84,CD9,CD5,2.0,977,15693,150.0,18000,0.7511111111111111,68.0,5117.969171764539,145.79606107086158,1,1.5022222222222221,10235.938343529078,977,136.0,62772.0,291.59212214172317
85,CD9,CD6,2.0,741,11929,175.0,21000,0.7448484848484846,68.0,3735.9206007121193,111.98872840953771,1,1.4896969696969693,7471.8412014242385,741,136.0,47716.0,223.97745681907543
86,CD9,CD7,0.0,421,7041,144.0,17280,0.7448484848484846,68.0,1970.6191726259533,65.8400033928987,0,0.0,0.0,0,0.0,0.0,0.0
87,CD9,CD8,0.0,922,14840,63.0,7560,0.7511111111111111,68.0,4802.312481058159,138.2101493763187,0,0.0,0.0,0,0.0,0.0,0.0
88,CD9,CD9,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
89,CD9,CD10,3.0,327,5715,260.0,31200,0.7385858585858585,68.0,1478.0637387206505,53.312249948853164,1,2.2157575757575754,4434.191216161951,327,204.0,34290.0,159.9367498465595
90,CD10,CD1,2.0,154,3163,188.0,22560,0.5319191919191919,68.0,703.1991915317146,24.002624070677534,1,1.0638383838383838,1406.3983830634293,154,136.0,12652.0,48.00524814135507
91,CD10,CD2,3.0,427,7127,322.0,38640,0.7448484848484846,68.0,2002.3551007705144,66.66546858055354,1,2.234545454545454,6007.065302311543,427,204.0,42762.0,199.99640574166062
92,CD10,CD3,2.0,258,4929,192.0,23040,0.6634343434343433,68.0,1119.6009935424993,46.72543450013862,1,1.3268686868686865,2239.2019870849986,258,136.0,19716.0,93.45086900027724
93,CD10,CD4,3.0,326,5701,256.0,30720,0.7385858585858585,68.0,1472.8999099572432,53.173347392251756,1,2.2157575757575754,4418.69972987173,326,204.0,34206.0,159.52004217675528
94,CD10,CD5,0.0,670,10882,183.0,21960,0.7385858585858585,68.0,3331.239060261267,103.02792159389693,0,0.0,0.0,0,0.0,0.0,0.0
95,CD10,CD6,2.0,463,7699,171.0,20520,0.7448484848484846,68.0,2193.5859028367468,72.47546335839337,1,1.4896969696969693,4387.1718056734935,463,136.0,30796.0,144.95092671678674
96,CD10,CD7,1.0,375,6396,99.0,11880,0.7385858585858585,68.0,1727.271027497338,59.97703665347571,1,0.7385858585858585,1727.271027497338,375,68.0,12792.0,59.97703665347571
97,CD10,CD8,0.0,670,10882,78.0,9360,0.7385858585858585,68.0,3331.239060261267,103.02792159389693,0,0.0,0.0,0,0.0,0.0,0.0
98,CD10,CD9,0.0,327,5715,260.0,31200,0.7385858585858585,68.0,1478.0637387206505,53.312249948853164,0,0.0,0.0,0,0.0,0.0,0.0
99,CD10,CD10,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0
