,column_i,column_j,column_k,pax_number
277,CD3,CD8,CD8,0.0
278,CD3,CD8,CD9,0.0
279,CD3,CD8,CD10,0.0
280,CD3,CD9,CD1,0.0
281,CD3,CD9,CD2,0.0
282,CD3,CD9,CD3,0.0
283,CD3,CD9,CD4,0.0
284,CD3,CD9,CD5,0.0
285,CD3,CD9,CD6,0.0
286,CD3,CD9,CD7,0.0
287,CD3,CD9,CD8,0.0
288,CD3,CD9,CD9,255.0
289,CD3,CD9,CD10,0.0
290,CD3,CD10,CD1,0.0
291,CD3,CD10,CD2,0.0
292,CD3,CD10,CD3,192.0
293,CD3,CD10,CD4,0.0
294,CD3,CD10,CD5,0.0
295,CD3,CD10,CD6,0.0
296,CD3,CD10,CD7,0.0
297,CD3,CD10,CD8,0.0
298,CD3,CD10,CD9,0.0
299,CD3,CD10,CD10,0.0
300,CD4,CD1,CD1,0.0
301,CD4,CD1,CD2,0.0
302,CD4,CD1,CD3,0.0
303,CD4,CD1,CD4,0.0
304,CD4,CD1,CD5,0.0
305,CD4,CD1,CD6,0.0
306,CD4,CD1,CD7,0.0
307,CD4,CD1,CD8,0.0
308,CD4,CD1,CD9,0.0
309,CD4,CD1,CD10,0.0
310,CD4,CD2,CD1,0.0
311,CD4,CD2,CD2,0.0
312,CD4,CD2,CD3,0.0
313,CD4,CD2,CD4,0.0
314,CD4,CD2,CD5,0.0
315,CD4,CD2,CD6,0.0
316,CD4,CD2,CD7,0.0
317,CD4,CD2,CD8,0.0
318,CD4,CD2,CD9,0.0
319,CD4,CD2,CD10,0.0
320,CD4,CD3,CD1,0.0
321,CD4,CD3,CD2,0.0
322,CD4,CD3,CD3,0.0
323,CD4,CD3,CD4,334.0
324,CD4,CD3,CD5,0.0
325,CD4,CD3,CD6,0.0
326,CD4,CD3,CD7,0.0
327,CD4,CD3,CD8,0.0
328,CD4,CD3,CD9,0.0
329,CD4,CD3,CD10,0.0
330,CD4,CD4,CD1,0.0
331,CD4,CD4,CD2,0.0
332,CD4,CD4,CD3,0.0
333,CD4,CD4,CD4,
334,CD4,CD4,CD5,0.0
335,CD4,CD4,CD6,0.0
336,CD4,CD4,CD7,0.0
337,CD4,CD4,CD8,0.0
338,CD4,CD4,CD9,0.0
339,CD4,CD4,CD10,0.0
340,CD4,CD5,CD1,0.0
341,CD4,CD5,CD2,0.0
342,CD4,CD5,CD3,0.0
343,CD4,CD5,CD4,0.0
344,CD4,CD5,CD5,0.0
345,CD4,CD5,CD6,0.0
346,CD4,CD5,CD7,0.0
347,CD4,CD5,CD8,0.0
348,CD4,CD5,CD9,0.0
349,CD4,CD5,CD10,0.0
350,CD4,CD6,CD1,0.0
351,CD4,CD6,CD2,0.0
352,CD4,CD6,CD3,0.0
353,CD4,CD6,CD4,0.0
354,CD4,CD6,CD5,0.0
355,CD4,CD6,CD6,0.0
356,CD4,CD6,CD7,0.0
357,CD4,CD6,CD8,0.0
358,CD4,CD6,CD9,0.0
359,CD4,CD6,CD10,0.0
360,CD4,CD7,CD1,0.0
361,CD4,CD7,CD2,0.0
362,CD4,CD7,CD3,0.0
363,CD4,CD7,CD4,0.0
364,CD4,CD7,CD5,0.0
365,CD4,CD7,CD6,0.0
366,CD4,CD7,CD7,0.0
367,CD4,CD7,CD8,0.0
368,CD4,CD7,CD9,0.0
369,CD4,CD7,CD10,0.0
370,CD4,CD8,CD1,0.0
371,CD4,CD8,CD2,0.0
372,CD4,CD8,CD3,0.0
373,CD4,CD8,CD4,0.0
374,CD4,CD8,CD5,0.0
375,CD4,CD8,CD6,0.0
376,CD4,CD8,CD7,0.0
377,CD4,CD8,CD8,0.0
378,CD4,CD8,CD9,0.0
379,CD4,CD8,CD10,0.0
380,CD4,CD9,CD1,0.0
381,CD4,CD9,CD2,0.0
382,CD4,CD9,CD3,0.0
383,CD4,CD9,CD4,0.0
384,CD4,CD9,CD5,0.0
385,CD4,CD9,CD6,0.0
386,CD4,CD9,CD7,0.0
387,CD4,CD9,CD8,0.0
388,CD4,CD9,CD9,0.0
389,CD4,CD9,CD10,0.0
390,CD4,CD10,CD1,0.0
391,CD4,CD10,CD2,0.0
392,CD4,CD10,CD3,0.0
393,CD4,CD10,CD4,0.0
394,CD4,CD10,CD5,0.0
395,CD4,CD10,CD6,0.0
396,CD4,CD10,CD7,0.0
397,CD4,CD10,CD8,0.0
398,CD4,CD10,CD9,0.0
399,CD4,CD10,CD10,0.0
400,CD5,CD1,CD1,0.0
401,CD5,CD1,CD2,0.0
402,CD5,CD1,CD3,0.0
403,CD5,CD1,CD4,0.0
404,CD5,CD1,CD5,0.0
405,CD5,CD1,CD6,0.0
406,CD5,CD1,CD7,0.0
407,CD5,CD1,CD8,0.0
408,CD5,CD1,CD9,0.0
409,CD5,CD1,CD10,0.0
410,CD5,CD2,CD1,0.0
411,CD5,CD2,CD2,0.0
