, 0
426, 0
427, 0
428, 22
429, 312
430, 0
431, 0
432, 0
433, 0
434, 0
435, 0
436, 4
437, 0
438, 0
439, 296
440, 0
441, 0
442, 0
443, 0
444, 0
445, 0
446, 0
447, 0
448, 0
449, 374
450, 0
451, 0
452, 0
453, 0
454, 0
455, 0
456, 0
457, 0
458, 0
459, 354
460, 0
461, 0
462, 0
463, 0
464, 0
465, 0
466, 0
467, 0
468, 0
469, 204
470, 0
471, 0
472, 0
473, 0
474, 0
475, 0
476, 14
477, 0
478, 7
479, 234
480, 0
481, 0
482, 0
483, 0
484, 0
485, 0
486, 252
487, 0
488, 0
489, 0
490, 0
491, 0
492, 0
493, 0
494, 0
495, 0
496, 28
497, 0
498, 0
499, 0
500, 228
501, 0
502, 0
503, 0
504, 0
505, 0
506, 0
507, 0
508, 469
509, 0
510, 0
511, 0
512, 0
513, 0
514, 0
515, 0
516, 4
517, 0
518, 18
519, 312
520, 0
521, 0
522, 0
523, 0
524, 0
525, 0
526, 0
527, 0
528, 0
529, 0
530, 0
531, 0
532, 0
533, 0
534, 0
535, 5
536, 0
537, 0
538, 0
539, 302
540, 0
541, 0
542, 0
543, 0
544, 0
545, 0
546, 0
547, 0
548, 0
549, 374
550, 0
551, 0
552, 0
553, 0
554, 0
555, 0
556, 0
557, 0
558, 0
559, 291
560, 0
561, 0
562, 0
563, 0
564, 0
565, 2
566, 0
567, 40
568, 0
569, 207
570, 0
571, 0
572, 0
573, 78
574, 0
575, 21
576, 0
577, 0
578, 0
579, 234
580, 0
581, 0
582, 0
583, 0
584, 0
585, 313
586, 0
587, 0
588, 0
589, 0
590, 0
591, 0
592, 0
593, 0
594, 0
595, 0
596, 5
597, 10
598, 12
599, 0
600, 156
601, 0
602, 0
603, 0
604, 0
605, 0
606, 0
607, 398
608, 0
609, 0
610, 0
611, 0
612, 0
613, 0
614, 0
615, 0
616, 0
617, 0
618, 300
619, 0
620, 0
621, 0
622, 0
623, 0
624, 0
625, 0
626, 0
627, 0
628, 0
629, 307
630, 0
631, 0
632, 0
633, 0
634, 0
635, 0
636, 0
637, 0
638, 0
639, 5
640, 0
641, 0
642, 0
643, 0
644, 0
645, 0
646, 0
647, 0
648, 0
649, 697
650, 0
651, 0
652, 0
653, 0
654, 0
655, 31
656, 0
657, 0
658, 0
659, 309
660, 0
661, 0
662, 0
663, 0
664, 38
665, 9
666, 60
667, 0
668, 0
669, 43
670, 0
671, 0
672, 0
673, 0
674, 39
675, 33
676, 0
677, 0
678, 0
679, 78
680, 0
681, 0
682, 0
683, 0
684, 298
685, 0
686, 0
687, 0
688, 0
689, 0
690, 0
691, 0
692, 0
693, 0
694, 15
695, 0
696, 0
697, 0
698, 0
699, 0
700, 156
701, 0
702, 0
703, 0
704, 0
705, 0
706, 215
707, 0
708, 0
709, 0
710, 0
711, 0
712, 0
713, 0
714, 0
715, 0
716, 0
717, 374
718, 0
719, 0
720, 0
721, 0
722, 0
723, 0
724, 0
725, 0
726, 0
727, 0
728, 374
729, 0
730, 0
731, 0
732, 0
733, 0
734, 0
735, 0
736, 0
737, 0
738, 0
739, 697
740, 0
741, 0
742, 0
743, 0
744, 0
745, 0
746, 0
747, 10
748, 0
749, 48
750, 0
751, 0
752, 0
753, 0
754, 0
755, 0
756, 0
757, 16
758, 0
759, 368
760, 0
761, 0
762, 0
763, 26
764, 0
765, 19
766, 6
767, 0
768, 35
769, 78
770, 0
771, 0
772, 0
773, 19
774, 0
775, 0
776, 0
777, 0
778, 0
779, 156
780, 0
781, 0
782, 0
783, 192
784, 0
785, 0
786, 0
787, 0
788, 0
789, 0
790, 0
791, 0
792, 0
793, 0
794, 0
795, 0
796, 0
797, 0
798, 0
799, 0
800, 99
801, 0
802, 0
803, 8
804, 0
805, 234
806, 12
807, 0
808, 0
809, 0
810, 0
811, 0
812, 0
813, 0
814, 0
815, 0
816, 354
817, 0
818, 0
819, 0
820, 0
821, 0
822, 0
823, 0
824, 0
825, 0
826, 0
827, 291
